Uniprot ID	Entry name	Status	Protein names	Gene names	Organism	Length	Source of Contamination
P63103	1433Z_BOVIN	reviewed	14-3-3 protein zeta/delta (Factor activating exoenzyme S) (FAS) (Protein kinase C inhibitor protein 1) (KCIP-1)	YWHAZ	Bos taurus (Bovine)		Residue cell medium containing FBS
P68138	ACTS_BOVIN	reviewed	Actin, alpha skeletal muscle (Alpha-actin-1) [Cleaved into: Actin, alpha skeletal muscle, intermediate form]	ACTA1 ACTA	Bos taurus (Bovine)		Residue cell medium containing FBS
P80012	VWF_BOVIN	reviewed	von Willebrand factor (vWF) (Fragment)	VWF F8VWF	Bos taurus (Bovine)		Residue cell medium containing FBS
P81187	CFAB_BOVIN	reviewed	"Complement factor B (EC 3.4.21.47) (C3/C5 convertase) (EC-VMFB) [Cleaved into: Complement factor B Ba fragment; Complement factor B Bb fragment]"	CFB BF	Bos taurus (Bovine)		Residue cell medium containing FBS
P81948	TBA4A_BOVIN	reviewed	Tubulin alpha-4A chain (Alpha-tubulin 1) (Tubulin alpha-1 chain)	TUBA4A TUBA1	Bos taurus (Bovine)		Residue cell medium containing FBS
P98140	FA12_BOVIN	reviewed	"Coagulation factor XII (EC 3.4.21.38) (Hageman factor) (HAF) [Cleaved into: Coagulation factor XIIa heavy chain; Coagulation factor XIIa light chain]"	F12	Bos taurus (Bovine)		Residue cell medium containing FBS
Q28106	CNTN1_BOVIN	reviewed	Contactin-1 (Neural cell surface protein F3)	CNTN1	Bos taurus (Bovine)		Residue cell medium containing FBS
Q28178	TSP1_BOVIN	reviewed	Thrombospondin-1 (Glycoprotein G)	THBS1 TSP-1 TSP1	Bos taurus (Bovine)		Residue cell medium containing FBS
Q2HJ86	TBA1D_BOVIN	reviewed	Tubulin alpha-1D chain [Cleaved into: Detyrosinated tubulin alpha-1D chain]	TUBA1D	Bos taurus (Bovine)		Residue cell medium containing FBS
Q2KJ63	KLKB1_BOVIN	reviewed	"Plasma kallikrein (EC 3.4.21.34) (Fletcher factor) (Kininogenin) (Plasma prekallikrein) [Cleaved into: Plasma kallikrein heavy chain; Plasma kallikrein light chain]"	KLKB1	Bos taurus (Bovine)		Residue cell medium containing FBS
Q2KJD0	TBB5_BOVIN	reviewed	Tubulin beta-5 chain	TUBB5	Bos taurus (Bovine)		Residue cell medium containing FBS
Q3SWW8	TSP4_BOVIN	reviewed	Thrombospondin-4	THBS4	Bos taurus (Bovine)		Residue cell medium containing FBS
Q3ZCH5	ZA2G_BOVIN	reviewed	Zinc-alpha-2-glycoprotein (Zn-alpha-2-GP) (Zn-alpha-2-glycoprotein)	AZGP1	Bos taurus (Bovine)		Residue cell medium containing FBS
Q58CQ9	VNN1_BOVIN	reviewed	Pantetheinase (EC 3.5.1.92) (Pantetheine hydrolase) (Vascular non-inflammatory molecule 1) (Vanin-1)	VNN1	Bos taurus (Bovine)		Residue cell medium containing FBS
Q5E9B1	LDHB_BOVIN	reviewed	L-lactate dehydrogenase B chain (LDH-B) (EC 1.1.1.27)	LDHB	Bos taurus (Bovine)		Residue cell medium containing FBS
Q5E9Z2	HABP2_BOVIN	reviewed	"Hyaluronan-binding protein 2 (EC 3.4.21.-) [Cleaved into: Hyaluronan-binding protein 2 50 kDa heavy chain; Hyaluronan-binding protein 2 50 kDa heavy chain alternate form; Hyaluronan-binding protein 2 27 kDa light chain; Hyaluronan-binding protein 2 27 kDa light chain alternate form]"	HABP2	Bos taurus (Bovine)		Residue cell medium containing FBS
Q5NTB3	FA11_BOVIN	reviewed	"Coagulation factor XI (FXI) (EC 3.4.21.27) (Plasma thromboplastin antecedent) (PTA) [Cleaved into: Coagulation factor XIa heavy chain; Coagulation factor XIa light chain]"	F11	Bos taurus (Bovine)		Residue cell medium containing FBS
Q6URK6	CADH5_BOVIN	reviewed	Cadherin-5 (Vascular endothelial cadherin) (VE-cadherin) (CD antigen CD144)	CDH5	Bos taurus (Bovine)		Residue cell medium containing FBS
Q9XSJ4	ENOA_BOVIN	reviewed	Alpha-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (Enolase 1) (HAP47) (Non-neural enolase) (NNE) (Phosphopyruvate hydratase)	ENO1	Bos taurus (Bovine)		Residue cell medium containing FBS
A2I7N0	SPA34_BOVIN	reviewed	Serpin A3-4	SERPINA3-4	Bos taurus (Bovine)	411	Residue cell medium containing FBS
A2I7N1	SPA35_BOVIN	reviewed	Serpin A3-5	SERPINA3-5	Bos taurus (Bovine)	411	Residue cell medium containing FBS
A2I7N3	SPA37_BOVIN	reviewed	Serpin A3-7	SERPINA3-7	Bos taurus (Bovine)	417	Residue cell medium containing FBS
E1BF81	CBG_BOVIN	reviewed	Corticosteroid-binding globulin (CBG) (Serpin A6) (Transcortin)	SERPINA6 CBG	Bos taurus (Bovine)	404	Residue cell medium containing FBS
P00735	THRB_BOVIN	reviewed	"Prothrombin (EC 3.4.21.5) (Coagulation factor II) [Cleaved into: Activation peptide fragment 1; Activation peptide fragment 2; Thrombin light chain; Thrombin heavy chain]"	F2	Bos taurus (Bovine)	625	Residue cell medium containing FBS
P00978	AMBP_BOVIN	reviewed	"Protein AMBP [Cleaved into: Alpha-1-microglobulin; Inter-alpha-trypsin inhibitor light chain (ITI-LC) (BI-14) (Bikunin) (Cumulus extracellular matrix-stabilizing factor) (ESF) (HI-30); Trypstatin]"	AMBP ITIL	Bos taurus (Bovine)	352	Residue cell medium containing FBS
P01044	KNG1_BOVIN	reviewed	"Kininogen-1 (Kininogen I) (Thiol proteinase inhibitor) [Cleaved into: Kininogen-1 heavy chain; Bradykinin (Kallidin I); Lysyl-bradykinin (Kallidin II); Kininogen-1 light chain]"	KNG1	Bos taurus (Bovine)	621	Residue cell medium containing FBS
P01045	KNG2_BOVIN	reviewed	"Kininogen-2 (Kininogen II) (Thiol proteinase inhibitor) [Cleaved into: Kininogen-2 heavy chain; Bradykinin (Kallidin I); Lysyl-bradykinin (Kallidin II); Kininogen-2 light chain]"	KNG2	Bos taurus (Bovine)	619	Residue cell medium containing FBS
P01966	HBA_BOVIN	reviewed	Hemoglobin subunit alpha (Alpha-globin) (Hemoglobin alpha chain)	HBA	Bos taurus (Bovine)	142	Residue cell medium containing FBS
P02070	HBB_BOVIN	reviewed	Hemoglobin subunit beta (Beta-globin) (Hemoglobin beta chain) [Cleaved into: Spinorphin]	HBB	Bos taurus (Bovine)	145	Residue cell medium containing FBS
P02081	HBBF_BOVIN	reviewed	Hemoglobin fetal subunit beta (Beta-globin, fetal) (Hemoglobin beta chain, fetal) (Hemoglobin gamma chain)		Bos taurus (Bovine)	145	Residue cell medium containing FBS
P02584	PROF1_BOVIN	reviewed	Profilin-1 (Profilin I)	PFN1	Bos taurus (Bovine)	140	Residue cell medium containing FBS
P02672	FIBA_BOVIN	reviewed	"Fibrinogen alpha chain [Cleaved into: Fibrinopeptide A; Fibrinogen alpha chain]"	FGA	Bos taurus (Bovine)	615	Residue cell medium containing FBS
P02676	FIBB_BOVIN	reviewed	"Fibrinogen beta chain [Cleaved into: Fibrinopeptide B; Fibrinogen beta chain]"	FGB	Bos taurus (Bovine)	468	Residue cell medium containing FBS
P07224	PROS_BOVIN	reviewed	Vitamin K-dependent protein S	PROS1 PROS	Bos taurus (Bovine)	675	Residue cell medium containing FBS
P17690	APOH_BOVIN	reviewed	Beta-2-glycoprotein 1 (Apolipoprotein H) (Apo-H) (Beta-2-glycoprotein I) (B2GPI) (Beta(2)GPI)	APOH	Bos taurus (Bovine)	345	Residue cell medium containing FBS
P17697	CLUS_BOVIN	reviewed	"Clusterin (Glycoprotein III) (GpIII) [Cleaved into: Clusterin beta chain; Clusterin alpha chain]"	CLU	Bos taurus (Bovine)	439	Residue cell medium containing FBS
P28800	A2AP_BOVIN	reviewed	Alpha-2-antiplasmin (Alpha-2-AP) (Alpha-2-plasmin inhibitor) (Alpha-2-PI) (Serpin F2)	SERPINF2 PLI	Bos taurus (Bovine)	492	Residue cell medium containing FBS
P35445	COMP_BOVIN	reviewed	Cartilage oligomeric matrix protein (COMP)	COMP	Bos taurus (Bovine)	756	Residue cell medium containing FBS
P41361	ANT3_BOVIN	reviewed	Antithrombin-III (ATIII) (Serpin C1)	SERPINC1 AT3	Bos taurus (Bovine)	465	Residue cell medium containing FBS
P50448	F12AI_BOVIN	reviewed	Factor XIIa inhibitor (XIIaINH)		Bos taurus (Bovine)	468	Residue cell medium containing FBS
P56652	ITIH3_BOVIN	reviewed	Inter-alpha-trypsin inhibitor heavy chain H3 (ITI heavy chain H3) (ITI-HC3) (Inter-alpha-inhibitor heavy chain 3)	ITIH3	Bos taurus (Bovine)	891	Residue cell medium containing FBS
P81644	APOA2_BOVIN	reviewed	"Apolipoprotein A-II (Apo-AII) (ApoA-II) (Antimicrobial peptide BAMP-1) (Apolipoprotein A2) [Cleaved into: Proapolipoprotein A-II (ProapoA-II); Truncated apolipoprotein A-II (Apolipoprotein A-II(1-76))]"	APOA2	Bos taurus (Bovine)	100	Residue cell medium containing FBS
Q03247	APOE_BOVIN	reviewed	Apolipoprotein E (Apo-E)	APOE	Bos taurus (Bovine)	316	Residue cell medium containing FBS
Q05443	LUM_BOVIN	reviewed	Lumican (Corneal keratan sulfate proteoglycan 37B core protein) (Keratan sulfate proteoglycan) (KSPG)	LUM LDC	Bos taurus (Bovine)	342	Residue cell medium containing FBS
Q28065	C4BPA_BOVIN	reviewed	C4b-binding protein alpha chain (C4bp)	C4BPA	Bos taurus (Bovine)	610	Residue cell medium containing FBS
Q28085	CFAH_BOVIN	reviewed	Complement factor H (H factor 1)	CFH HF1	Bos taurus (Bovine)	1236	Residue cell medium containing FBS
Q28107	FA5_BOVIN	reviewed	"Coagulation factor V (Activated protein C cofactor) [Cleaved into: Coagulation factor V heavy chain; Coagulation factor V light chain]"	F5	Bos taurus (Bovine)	2211	Residue cell medium containing FBS
Q29RQ1	CO7_BOVIN	reviewed	Complement component C7	C7	Bos taurus (Bovine)	843	Residue cell medium containing FBS
Q2KIG3	CBPB2_BOVIN	reviewed	Carboxypeptidase B2 (EC 3.4.17.20) (Carboxypeptidase U) (CPU) (Plasma carboxypeptidase B) (pCPB) (Thrombin-activable fibrinolysis inhibitor) (TAFI)	CPB2	Bos taurus (Bovine)	423	Residue cell medium containing FBS
Q2KIS7	TETN_BOVIN	reviewed	Tetranectin (TN) (C-type lectin domain family 3 member B)	CLEC3B	Bos taurus (Bovine)	202	Residue cell medium containing FBS
Q2KIU3	HP252_BOVIN	reviewed	Protein HP-25 homolog 2		Bos taurus (Bovine)	215	Residue cell medium containing FBS
Q2KJF1	A1BG_BOVIN	reviewed	Alpha-1B-glycoprotein (Alpha-1-B glycoprotein)	A1BG	Bos taurus (Bovine)	503	Residue cell medium containing FBS
Q32PJ2	APOA4_BOVIN	reviewed	Apolipoprotein A-IV (Apo-AIV) (ApoA-IV) (Apolipoprotein A4)	APOA4	Bos taurus (Bovine)	380	Residue cell medium containing FBS
Q3MHN2	CO9_BOVIN	reviewed	Complement component C9	C9	Bos taurus (Bovine)	548	Residue cell medium containing FBS
Q3MHN5	VTDB_BOVIN	reviewed	Vitamin D-binding protein (DBP) (VDB) (Gc-globulin) (Group-specific component)	GC	Bos taurus (Bovine)	474	Residue cell medium containing FBS
Q3SX14	GELS_BOVIN	reviewed	Gelsolin (Actin-depolymerizing factor) (ADF) (Brevin)	GSN	Bos taurus (Bovine)	731	Residue cell medium containing FBS
Q3T052	ITIH4_BOVIN	reviewed	Inter-alpha-trypsin inhibitor heavy chain H4 (ITI heavy chain H4) (ITI-HC4) (Inter-alpha-inhibitor heavy chain 4)	ITIH4	Bos taurus (Bovine)	916	Residue cell medium containing FBS
Q3Y5Z3	ADIPO_BOVIN	reviewed	Adiponectin (30 kDa adipocyte complement-related protein) (Adipocyte complement-related 30 kDa protein) (ACRP30) (Adipocyte, C1q and collagen domain-containing protein) (Adipose most abundant gene transcript 1 protein) (apM-1)	ADIPOQ ACRP30 APM1	Bos taurus (Bovine)	240	Residue cell medium containing FBS
Q58D62	FETUB_BOVIN	reviewed	Fetuin-B	FETUB	Bos taurus (Bovine)	387	Residue cell medium containing FBS
Q95121	PEDF_BOVIN	reviewed	Pigment epithelium-derived factor (PEDF) (Serpin F1)	SERPINF1 PEDF	Bos taurus (Bovine)	416	Residue cell medium containing FBS
Q95M17	CHIA_BOVIN	reviewed	Acidic mammalian chitinase (AMCase) (EC 3.2.1.14) (Chitin-binding protein b04) (CBPb04)	CHIA	Bos taurus (Bovine)	472	Residue cell medium containing FBS
Q9N2I2	IPSP_BOVIN	reviewed	Plasma serine protease inhibitor (Protein C inhibitor) (PCI) (Serpin A5)	SERPINA5	Bos taurus (Bovine)	404	Residue cell medium containing FBS
Q9TT36	THBG_BOVIN	reviewed	Thyroxine-binding globulin (Serpin A7) (T4-binding globulin)	SERPINA7 TBG	Bos taurus (Bovine)	411	Residue cell medium containing FBS
Q9TTE1	SPA31_BOVIN	reviewed	Serpin A3-1 (Endopin-1A) (Muscle endopin-1A) (mEndopin-1A)	SERPINA3-1 SERPINA3A	Bos taurus (Bovine)	411	Residue cell medium containing FBS
A0A3Q1M032	A0A3Q1M032_BOVIN	unreviewed	Uncharacterized protein		Bos taurus (Bovine)	369	Residue cell medium containing FBS
A0A3Q1MJB2	A0A3Q1MJB2_BOVIN	unreviewed	Fibulin-1	FBLN1	Bos taurus (Bovine)	706	Residue cell medium containing FBS
A5PJ69	A5PJ69_BOVIN	unreviewed	SERPINA10 protein (Serpin family A member 10)	SERPINA10	Bos taurus (Bovine)	452	Residue cell medium containing FBS
E1BCW0	E1BCW0_BOVIN	unreviewed	HGF activator	HGFAC	Bos taurus (Bovine)	651	Residue cell medium containing FBS
E1BJK2	E1BJK2_BOVIN	unreviewed	Tubulin beta chain	TUBB1	Bos taurus (Bovine)	450	Residue cell medium containing FBS
G3N188	G3N188_BOVIN	unreviewed	Ig-like domain-containing protein		Bos taurus (Bovine)	218	Residue cell medium containing FBS
G5E513	G5E513_BOVIN	unreviewed	Uncharacterized protein		Bos taurus (Bovine)	439	Residue cell medium containing FBS
Q1A7A4	Q1A7A4_BOVIN	unreviewed	Complement component C5a (Fragment)		Bos taurus (Bovine)	74	Residue cell medium containing FBS
Q1RMN8	Q1RMN8_BOVIN	unreviewed	Immunoglobulin light chain, lambda gene cluster	IGL@	Bos taurus (Bovine)	234	Residue cell medium containing FBS
Q2KIF2	Q2KIF2_BOVIN	unreviewed	Leucine-rich alpha-2-glycoprotein 1	LRG1	Bos taurus (Bovine)	346	Residue cell medium containing FBS
Q2KIH2	Q2KIH2_BOVIN	unreviewed	ApoN protein (Apolipoprotein N)	APON 	Bos taurus (Bovine)	254	Residue cell medium containing FBS
Q2KIT0	HP20_BOVIN	reviewed	Protein HP-20 homolog		Bos taurus (Bovine)	191	Residue cell medium containing FBS
Q2KJ83	CBPN_BOVIN	reviewed	Carboxypeptidase N catalytic chain (CPN) (EC 3.4.17.3) (Carboxypeptidase N polypeptide 1) (Carboxypeptidase N small subunit)	CPN1	Bos taurus (Bovine)	462	Residue cell medium containing FBS
Q2KJC7	Q2KJC7_BOVIN	unreviewed	Periostin (Periostin variant 7) (Periostin, osteoblast specific factor)	POSTN	Bos taurus (Bovine)	779	Residue cell medium containing FBS
Q2TBQ1	Q2TBQ1_BOVIN	unreviewed	Coagulation factor XIII B chain (Coagulation factor XIII, B polypeptide)	F13B	Bos taurus (Bovine)	661	Residue cell medium containing FBS
Q32PI4	Q32PI4_BOVIN	unreviewed	Complement factor I	CFI	Bos taurus (Bovine)	618	Residue cell medium containing FBS
Q3MHH8	Q3MHH8_BOVIN	unreviewed	Alpha-amylase (EC 3.2.1.1)	AMY2A	Bos taurus (Bovine)	511	Residue cell medium containing FBS
Q3ZBS7	Q3ZBS7_BOVIN	unreviewed	Vitronectin	VTN	Bos taurus (Bovine)	476	Residue cell medium containing FBS
Q6T181	Q6T181_BOVIN	unreviewed	Sex hormone-binding globulin (Fragment)	SHBG	Bos taurus (Bovine)	99	Residue cell medium containing FBS
P02769	ALBU_BOVIN	reviewed	Albumin (BSA) (allergen Bos d 6)	ALB	Bos taurus (Bovine)	607	"Residue cell medium containing FBS; Affinity beads background"
Q3SZR3	A1AG_BOVIN	reviewed	Alpha-1-acid glycoprotein (Orosomucoid) (OMD)	ORM1 AGP	Bos taurus (Bovine)	202	"Residue cell medium containing FBS; Affinity beads background"
P34955	A1AT_BOVIN	reviewed	Alpha-1-antiproteinase (Alpha-1-antitrypsin) (Alpha-1-proteinase inhibitor) (Serpin A1)	SERPINA1 PI	Bos taurus (Bovine)	416	"Residue cell medium containing FBS; Affinity beads background"
P12763	FETUA_BOVIN	reviewed	Alpha-2-HS-glycoprotein (Asialofetuin) (Fetuin-A)	AHSG FETUA	Bos taurus (Bovine)	359	"Residue cell medium containing FBS; Affinity beads background"
Q7SIH1	A2MG_BOVIN	reviewed	Alpha-2-macroglobulin (Alpha-2-M)	A2M	Bos taurus (Bovine)	1510	"Residue cell medium containing FBS; Affinity beads background"
Q3SZ57	FETA_BOVIN	reviewed	Alpha-fetoprotein (Alpha-1-fetoprotein) (Alpha-fetoglobulin)	AFP	Bos taurus (Bovine)	610	"Residue cell medium containing FBS; Affinity beads background"
P00711	LALBA_BOVIN	reviewed	Alpha-lactalbumin (Lactose synthase B protein) (allergen Bos d 4)	LALBA ALACTA	Bos taurus (Bovine)	142	"Residue cell medium containing FBS; Affinity beads background"
P02662	CASA1_BOVIN	reviewed	Alpha-S1-casein (allergen Bos d 8) [Cleaved into: Antioxidant peptide]	CSN1S1	Bos taurus (Bovine)	214	"Residue cell medium containing FBS; Affinity beads background"
P02663	CASA2_BOVIN	reviewed	Alpha-S2-casein [Cleaved into: Casocidin-1 (Casocidin-I)]	CSN1S2	Bos taurus (Bovine)	222	"Residue cell medium containing FBS; Affinity beads background"
Q29463	TRY2_BOVIN	reviewed	Anionic trypsin (EC 3.4.21.4)		Bos taurus (Bovine)	247	"Residue cell medium containing FBS; Affinity beads background"
P15497	APOA1_BOVIN	reviewed	"Apolipoprotein A-I (Apo-AI) (ApoA-I) (Apolipoprotein A1) [Cleaved into: Proapolipoprotein A-I (ProapoA-I); Truncated apolipoprotein A-I]"	APOA1	Bos taurus (Bovine)	265	"Residue cell medium containing FBS; Affinity beads background"
P02666	CASB_BOVIN	reviewed	"Beta-casein [Cleaved into: Casoparan; Antioxidant peptide; Casohypotensin]"	CSN2	Bos taurus (Bovine)	224	"Residue cell medium containing FBS; Affinity beads background"
P02754	LACB_BOVIN	reviewed	Beta-lactoglobulin (Beta-LG) (allergen Bos d 5)	LGB	Bos taurus (Bovine)	178	"Residue cell medium containing FBS; Affinity beads background"
Q3KUS7	Q3KUS7_BOVIN	unreviewed	C3/C5 convertase (EC 3.4.21.47) (Complement factor B) (Fragment)	BF	Bos taurus (Bovine)	77	"Residue cell medium containing FBS; Affinity beads background"
P00921	CAH2_BOVIN	reviewed	Carbonic anhydrase 2 (EC 4.2.1.1) (Carbonate dehydratase II) (Carbonic anhydrase II) (CA-II)	CA2	Bos taurus (Bovine)	260	"Residue cell medium containing FBS; Affinity beads background"
P00760	TRY1_BOVIN	reviewed	"Cationic trypsin (EC 3.4.21.4) (Beta-trypsin) [Cleaved into: Alpha-trypsin chain 1; Alpha-trypsin chain 2]"		Bos taurus (Bovine)	246	"Residue cell medium containing FBS; Affinity beads background"
P00766	CTRA_BOVIN	reviewed	"Chymotrypsinogen A (EC 3.4.21.1) [Cleaved into: Chymotrypsin A chain A; Chymotrypsin A chain B; Chymotrypsin A chain C]"		Bos taurus (Bovine)	245	"Residue cell medium containing FBS; Affinity beads background"
P00767	CTRB_BOVIN	reviewed	"Chymotrypsinogen B (EC 3.4.21.1) [Cleaved into: Chymotrypsin B chain A; Chymotrypsin B chain B; Chymotrypsin B chain C]"		Bos taurus (Bovine)	245	"Residue cell medium containing FBS; Affinity beads background"
P04258	CO3A1_BOVIN	reviewed	Collagen alpha-1(III) chain	COL3A1	Bos taurus (Bovine)	1049	"Residue cell medium containing FBS; Affinity beads background"
Q2UVX4	CO3_BOVIN	reviewed	"Complement C3 [Cleaved into: Complement C3 beta chain; Complement C3 alpha chain; C3a anaphylatoxin; C3-beta-c (C3bc); Acylation stimulating protein (ASP) (C3adesArg); Complement C3b alpha' chain; Complement C3c alpha' chain fragment 1; Complement C3dg fragment; Complement C3g fragment; Complement C3d fragment; Complement C3f fragment; Complement C3c alpha' chain fragment 2]"	C3	Bos taurus (Bovine)	1661	"Residue cell medium containing FBS; Affinity beads background"
P01030	CO4_BOVIN	reviewed	"Complement C4 [Cleaved into: Complement C4 alpha chain; C4a anaphylatoxin; Complement C4 gamma chain] (Fragments)"	C4	Bos taurus (Bovine)	920	"Residue cell medium containing FBS; Affinity beads background"
P62894	CYC_BOVIN	reviewed	Cytochrome c	CYCS CYC	Bos taurus (Bovine)	105	"Residue cell medium containing FBS; Affinity beads background"
Q3ZBD7	G6PI_BOVIN	reviewed	Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Autocrine motility factor) (AMF) (Neuroleukin) (NLK) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI)	GPI	Bos taurus (Bovine)	557	"Residue cell medium containing FBS; Affinity beads background"
P00366	DHE3_BOVIN	reviewed	Glutamate dehydrogenase 1, mitochondrial (GDH 1) (EC 1.4.1.3)	GLUD1 GLUD	Bos taurus (Bovine)	558	"Residue cell medium containing FBS; Affinity beads background"
Q3SZV7	HEMO_BOVIN	reviewed	Hemopexin	HPX	Bos taurus (Bovine)	459	"Residue cell medium containing FBS; Affinity beads background"
Q05B55	Q05B55_BOVIN	unreviewed	IGK protein	IGK	Bos taurus (Bovine)	240	"Residue cell medium containing FBS; Affinity beads background"
Q0VCM5	ITIH1_BOVIN	reviewed	Inter-alpha-trypsin inhibitor heavy chain H1 (ITI heavy chain H1) (ITI-HC1) (Inter-alpha-inhibitor heavy chain 1)	ITIH1	Bos taurus (Bovine)	906	"Residue cell medium containing FBS; Affinity beads background"
P02668	CASK_BOVIN	reviewed	"Kappa-casein [Cleaved into: Casoxin-C; Casoxin-6; Casoxin-A; Casoxin-B; Casoplatelin]"	CSN3 CSN10 CSNK	Bos taurus (Bovine)	190	"Residue cell medium containing FBS; Affinity beads background"
P67983	MT1A_BOVIN	reviewed	Metallothionein-1A (MT-1A) (MTC) (Metallothionein-IA) (MT-IA)	MT1A MT-IA	Bos taurus (Bovine)	61	"Residue cell medium containing FBS; Affinity beads background"
Q2YDI2	ORC4_BOVIN	reviewed	Origin recognition complex subunit 4	ORC4 ORC4L	Bos taurus (Bovine)	436	"Residue cell medium containing FBS; Affinity beads background"
P31096	OSTP_BOVIN	reviewed	Osteopontin (Bone sialoprotein 1) (Secreted phosphoprotein 1) (SPP-1)	SPP1 OPN	Bos taurus (Bovine)	278	"Residue cell medium containing FBS; Affinity beads background"
P00792	PEPA_BOVIN	reviewed	Pepsin A (EC 3.4.23.1)	PGA	Bos taurus (Bovine)	372	"Residue cell medium containing FBS; Affinity beads background"
P06868	PLMN_BOVIN	reviewed	"Plasminogen (EC 3.4.21.7) [Cleaved into: Plasmin heavy chain A; Activation peptide; Plasmin heavy chain A, short form; Plasmin light chain B]"	PLG	Bos taurus (Bovine)	812	"Residue cell medium containing FBS; Affinity beads background"
P02777	PLF4_BOVIN	reviewed	Platelet factor 4 (PF-4) (C-X-C motif chemokine 4)	PF4 CXCL4 SCYB4	Bos taurus (Bovine)	88	"Residue cell medium containing FBS; Affinity beads background"
Q29443	TRFE_BOVIN	reviewed	Serotransferrin (Transferrin) (Beta-1 metal-binding globulin) (Siderophilin)	TF	Bos taurus (Bovine)	704	"Residue cell medium containing FBS; Affinity beads background"
Q2HJF0	Q2HJF0_BOVIN	unreviewed	Serotransferrin-like	LOC525947	Bos taurus (Bovine)	622	"Residue cell medium containing FBS; Affinity beads background"
P21752	TYB10_BOVIN	reviewed	Thymosin beta-10 (Thymosin beta-9) [Cleaved into: Thymosin beta-8]	TMSB10	Bos taurus (Bovine)	42	"Residue cell medium containing FBS; Affinity beads background"
Q5KR48	TPM2_BOVIN	reviewed	Tropomyosin beta chain (Beta-tropomyosin) (Tropomyosin-2)	TPM2	Bos taurus (Bovine)	284	"Residue cell medium containing FBS; Affinity beads background"
A0A3Q1M3L6	A0A3Q1M3L6_BOVIN	unreviewed	Uncharacterized protein		Bos taurus (Bovine)	367	"Residue cell medium containing FBS; Affinity beads background"
O77727	K1C15_SHEEP	reviewed	Keratin, type I cytoskeletal 15 (Cytokeratin-15) (CK-15) (Keratin-15) (K15)	KRT15	Ovis aries (Sheep)	453	Sheep keratin from wool clothing
P02438	KRB2A_SHEEP	reviewed	Keratin, high-sulfur matrix protein, B2A		Ovis aries (Sheep)	172	Sheep keratin from wool clothing
P02439	KRB2B_SHEEP	reviewed	Keratin, high-sulfur matrix protein, B2B		Ovis aries (Sheep)	156	Sheep keratin from wool clothing
P02440	KRB2C_SHEEP	reviewed	Keratin, high-sulfur matrix protein, B2C		Ovis aries (Sheep)	152	Sheep keratin from wool clothing
P02441	KRA3_SHEEP	reviewed	Keratin, high-sulfur matrix protein, IIIA3		Ovis aries (Sheep)	131	Sheep keratin from wool clothing
P02443	KRA3A_SHEEP	reviewed	Keratin, high-sulfur matrix protein, IIIA3A		Ovis aries (Sheep)	130	Sheep keratin from wool clothing
P02444	KRA33_SHEEP	reviewed	Keratin, high sulfur matrix protein, IIIB3		Ovis aries (Sheep)	98	Sheep keratin from wool clothing
P02445	KRA34_SHEEP	reviewed	Keratin, high sulfur matrix protein, IIIB4		Ovis aries (Sheep)	98	Sheep keratin from wool clothing
P02534	K1M1_SHEEP	reviewed	Keratin, type I microfibrillar 48 kDa, component 8C-1 (Low-sulfur keratin)		Ovis aries (Sheep)	412	Sheep keratin from wool clothing
P02539	K2M1_SHEEP	reviewed	Keratin, type II microfibrillar (Low-sulfur keratin) (Fragment)		Ovis aries (Sheep)	109	Sheep keratin from wool clothing
P08131	KRB2D_SHEEP	reviewed	Keratin, high-sulfur matrix protein, B2D		Ovis aries (Sheep)	182	Sheep keratin from wool clothing
P15241	K2M2_SHEEP	reviewed	Keratin, type II microfibrillar, component 7C		Ovis aries (Sheep)	491	Sheep keratin from wool clothing
P25690	K1M2_SHEEP	reviewed	Keratin, type I microfibrillar, 47.6 kDa (Low-sulfur keratin)		Ovis aries (Sheep)	404	Sheep keratin from wool clothing
P25691	K2M3_SHEEP	reviewed	Keratin, type II microfibrillar, component 5		Ovis aries (Sheep)	502	Sheep keratin from wool clothing
P26372	KRUC_SHEEP	reviewed	Keratin, ultra high-sulfur matrix protein (UHS keratin)		Ovis aries (Sheep)	182	Sheep keratin from wool clothing
Q02958	KRA61_SHEEP	reviewed	Keratin-associated protein 6-1 (Keratin, glycine/tyrosine-rich of hair)	KRTAP6-1 KAP6-1	Ovis aries (Sheep)	83	Sheep keratin from wool clothing
P22629	SAV_STRAV	reviewed	Streptavidin		Streptomyces avidinii	183	Streptavidin beads
P00761	TRYP_PIG	reviewed	Trypsin (EC 3.4.21.4)		Sus scrofa (Pig)	231	Trypsin Protease enzyme
P21578	LUXY_ALIFS	reviewed	Yellow fluorescent protein (YFP)	luxY	Aliivibrio fischeri (Vibrio fischeri)	194	YFP Fluorescent Protein
