,A_LFQ,B_LFQ,A,B
sp|Q29RF7|PDS5A_HUMAN,22719643.320695624,20286328.795323733,24499948.435411304,18506023.680608056
sp|Q99714|HCD2_HUMAN,480295659.7596179,474837236.3235555,496511401.8742541,458621494.20891947
sp|Q02818|NUCB1_HUMAN,27895733.510659866,22374366.01441514,27709624.4577273,22560475.0673477
sp|Q9BTE6|AASD1_HUMAN,47141460.80108285,46836304.58384787,49060042.504251175,44917722.88067955
"sp|Q6KB66|K2C80_HUMAN,Q6KB66-1",16673913.255774291,15446123.27287096,15127775.773713268,16992260.754931983
sp|O14656|TOR1A_HUMAN,7235536.514336488,4286246.372556113,7235536.514336489,4286246.372556113
sp|Q9NYL9|TMOD3_HUMAN,234902389.36724088,231091761.2363007,229237572.42503065,236756578.178511
sp|Q9Y3A5|SBDS_HUMAN,164567399.21092576,166015648.27116728,165879563.54190648,164703483.94018656
sp|Q8WUM4|PDC6I_HUMAN,476304830.0822338,484223235.0015988,498865175.6169401,461662889.46689254
sp|P40925|MDHC_HUMAN,475111505.5256425,379296698.02420497,457129566.98300225,397278636.56684536
sp|Q9H3K6|BOLA2_HUMAN,118281870.62925206,123369199.43995816,135433470.88786408,106217599.18134615
sp|Q9P2B4|CT2NL_HUMAN,1438892.624539843,2532275.6913692495,2654496.437119917,1316671.8787891753
sp|Q9NUY8|TBC23_HUMAN,,,2053854.498874275,2068273.0362233697
sp|O60826|CCD22_HUMAN,7360061.4298744025,7840468.542602541,8912070.714771124,6288459.25770582
sp|Q9UGV2|NDRG3_HUMAN,52302023.98693107,52745535.05404987,52146932.29867769,52900626.74230324
sp|O14657|TOR1B_HUMAN,3093517.225827863,2490369.4376390073,3044226.2705424684,2539660.392924402
sp|A2RUR9|C144A_HUMAN,36616613.03295985,,36616613.03295985,
sp|Q32P28|P3H1_HUMAN,70920006.90192723,77355535.77426976,77191509.46979952,71084033.20639746
sp|P10619|PPGB_HUMAN,44146745.7984478,45668927.60129329,45869073.12944603,43946600.27029505
sp|P12277|KCRB_HUMAN,612456118.5606799,630646673.6701893,535853074.77302414,707249717.4578451
sp|P54578|UBP14_HUMAN,156041892.51792452,168915218.87572637,154472808.3400606,170484303.0535903
sp|Q96DV4|RM38_HUMAN,4677315.642687153,4201738.658569052,5429585.878440206,3449468.422816001
sp|Q6NXR4|TTI2_HUMAN,2985863.4621148277,1610344.9361378103,2985863.4621148277,1610344.9361378103
sp|Q8TDH9|BL1S5_HUMAN,853414.3246274783,,853414.3246274783,
sp|Q9BRK5|CAB45_HUMAN,13508219.749559432,13380415.88960051,12828700.223452188,14059935.415707754
sp|P51665|PSMD7_HUMAN,73802552.24350888,68818573.79386784,75034550.33331907,67586575.70405766
sp|Q9P265|DIP2B_HUMAN,5022057.054438937,4405399.223509747,5362156.140320902,4065300.137627783
sp|P23610|HAP40_HUMAN,3756392.8710912084,3605453.453198482,3756392.871091209,3605453.4531984823
sp|Q6NXE6|ARMC6_HUMAN,8485810.139287964,7999357.505293532,9336450.123892993,7148717.520688505
sp|Q9UJX5|APC4_HUMAN,1542262.838701224,1668525.2569167165,1542262.838701224,1668525.2569167162
sp|P82650|RT22_HUMAN,5429041.912255672,8221350.172286037,7110247.762910654,6540144.321631053
sp|Q8TB72|PUM2_HUMAN,2432755.360120127,2326873.5553408125,2432755.360120127,2326873.5553408125
sp|Q9UNZ2|NSF1C_HUMAN,204689950.93739188,208755209.3944948,333860126.58739895,79585033.74448767
sp|Q9H307|PININ_HUMAN,51600945.69563149,50003831.77492517,51734160.47549777,49870616.99505888
sp|Q14103|HNRPD_HUMAN,701253218.538545,732552727.5653875,714269958.0243055,719535988.0796268
sp|Q99729|ROAA_HUMAN,57143320.91907786,59097003.54365557,58027633.00349313,58212691.4592403
sp|P22612|KAPCG_HUMAN,4818334.8459436605,4500727.640680907,4818334.8459436605,4500727.640680906
sp|Q13557|KCC2D_HUMAN,40685519.7400906,41605685.54453925,38252654.28947259,44038550.99515727
sp|Q13131|AAPK1_HUMAN,18159591.56087134,16270917.899522472,17690393.388919424,16740116.07147439
sp|P50613|CDK7_HUMAN,6524020.32414319,6112973.980445407,7032140.145499343,5604854.159089253
sp|P19525|E2AK2_HUMAN,33949942.07924342,32365123.1589437,35821715.045746,30493350.19244113
sp|Q16539|MK14_HUMAN,21046316.86083919,22359596.31537613,19636845.99721319,23769067.179002136
sp|Q9H501|ESF1_HUMAN,,,627834.1915978458,561288.6321630778
sp|Q9NTX5|ECHD1_HUMAN,22498623.514205612,23567869.66153449,19369264.338816613,26697228.836923487
sp|Q71UM5|RS27L_HUMAN,48967667.96217535,49454338.860971615,48967667.96217535,49454338.860971615
sp|P42677|RS27_HUMAN,252541139.2339308,267112624.75117368,226887652.18194088,292766111.8031636
sp|Q9NY27|PP4R2_HUMAN,7264507.325079615,8208668.3674953915,7733232.749333665,7739942.943241343
sp|Q15650|TRIP4_HUMAN,7055861.331585458,6094418.605110822,2787393.078475642,10362886.858220637
sp|O75643|U520_HUMAN,425662412.8789317,417245370.78157264,414670831.74252236,428236951.91798186
sp|Q7Z4S6|KI21A_HUMAN,795310.5959399327,3777389.4311233177,1190038.6238110599,3382661.403252191
sp|P49755|TMEDA_HUMAN,23254515.748856656,22125891.273983475,23051054.40509332,22329352.617746808
sp|P00492|HPRT_HUMAN,132285259.69149143,127641435.7309951,122986674.36069594,136940021.06179062
sp|P49419|AL7A1_HUMAN,250232686.32922694,237443379.32972378,260804858.69536003,226871206.96359065
sp|Q96QU8|XPO6_HUMAN,1348916.5937923207,3215448.026441946,976013.4690579402,3588351.151176327
sp|Q13541|4EBP1_HUMAN,35999971.20881258,35649152.15836822,35999971.20881258,35649152.15836823
sp|O94874|UFL1_HUMAN,10384163.474341234,11339103.235144356,11173782.230723567,10549484.478762023
sp|Q96CX2|KCD12_HUMAN,26399106.79120919,25852885.3841906,24560538.324480817,27691453.85091897
sp|P20908|CO5A1_HUMAN,44361191.264018,42980584.70027658,42660962.769811824,44680813.19448275
sp|Q14137|BOP1_HUMAN,62643594.719129115,60756508.5722275,59519964.87435151,63880138.41700512
sp|O75396|SC22B_HUMAN,19646208.956192188,23252489.922015328,20120124.09098483,22778574.787222695
sp|Q7L266|ASGL1_HUMAN,2395674.7512582745,1043614.6758579601,1559140.1797116392,1880149.2474045954
sp|P30048|PRDX3_HUMAN,126316753.11911869,121503482.35816103,122613468.76794918,125206766.70933054
sp|Q9NVI1|FANCI_HUMAN,13676337.226967117,14082694.548256623,15887833.539528785,11871198.235694954
sp|P39687|AN32A_HUMAN,771816572.2531829,766532630.8960568,814591540.2037512,723757662.9454885
sp|P60709|ACTB_HUMAN,3274088620.03455,3320956466.0382347,2505451636.3997164,4089593449.6730676
sp|O14979|HNRDL_HUMAN,395448200.22736627,405484646.3362156,388639667.7721524,412293178.7914295
sp|P82664|RT10_HUMAN,3399459.5913825394,3373747.557248996,3399459.59138254,3373747.557248996
sp|Q96C86|DCPS_HUMAN,34940163.16257654,39700757.52707238,34557852.68152276,40083068.00812616
sp|Q9H0D6|XRN2_HUMAN,64231880.52270926,66851420.71409203,67499597.60150567,63583703.635295615
sp|Q9NXH9|TRM1_HUMAN,21078200.54600107,23123505.519009504,22503768.107290193,21697937.957720377
sp|Q14919|NC2A_HUMAN,30166938.273548517,31482642.09170523,29681585.908257674,31967994.456996072
sp|Q9Y547|IFT25_HUMAN,22133942.621220518,28291938.28400974,24325801.040925052,26100079.86430521
sp|O95747|OXSR1_HUMAN,103338758.71106726,78601655.9983099,106000132.46830624,75940282.24107091
sp|Q4V328|GRAP1_HUMAN,15745345.174648108,17702415.94582834,13299727.02956882,20148034.09090763
sp|Q49A26|GLYR1_HUMAN,13279583.658233503,13396556.726341119,11719698.297088014,14956442.087486606
sp|Q13257|MD2L1_HUMAN,25961043.89238766,25408464.23092125,29369579.300004512,21999928.823304404
"sp|P62736|ACTA_HUMAN,sp|P68032|ACTC_HUMAN",53395213.72529082,56184748.08238912,53143062.44614889,56436899.36153105
sp|P68133|ACTS_HUMAN,6873462.007257157,,6873462.007257157,
sp|Q12874|SF3A3_HUMAN,212334707.31430176,203365565.02845407,214871783.03332812,200828489.30942768
sp|P30838|AL3A1_HUMAN,127702055.03430961,133483828.28253476,123697735.81183478,137488147.50500956
sp|Q8N392|RHG18_HUMAN,3711670.6294215196,3452376.329814395,4712553.986221095,2451492.9730148204
sp|P13489|RINI_HUMAN,163559709.1955692,158946973.52121675,161410657.06256506,161096025.65422082
sp|Q9UJX3|APC7_HUMAN,15799392.563045254,16480803.223694932,17411581.803467322,14868613.983272864
sp|Q15814|TBCC_HUMAN,3570412.0405800054,3899955.517785032,4207874.176473878,3262493.38189116
sp|O43913|ORC5_HUMAN,1557740.6456523845,1509908.9487525534,1557740.6456523845,1509908.9487525537
sp|Q92922|SMRC1_HUMAN,90934622.10029157,94321720.40644234,89554385.34157416,95701957.16515975
sp|Q96RN5|MED15_HUMAN,2500627.0897496007,2571832.5271043885,3762291.7455816213,1310167.8712723677
sp|Q96S82|UBL7_HUMAN,9938484.271437729,9967392.593038505,9992031.565507727,9913845.298968509
sp|Q9Y262|EIF3L_HUMAN,180371045.17376408,183441187.83592215,190121225.90545404,173691007.1042322
sp|P62841|RS15_HUMAN,119152459.29603189,124774812.26330447,111897980.00117722,132029291.55815914
sp|Q96LD4|TRI47_HUMAN,4245002.852063273,4633154.644694633,3677739.42313234,5200418.073625566
sp|P35270|SPRE_HUMAN,51492526.9993987,51102301.84309439,53552798.746586405,49042030.095906675
sp|Q92947|GCDH_HUMAN,3978522.6890111417,5775502.4297447875,5208490.037773388,4545535.08098254
sp|Q5TDH0|DDI2_HUMAN,,,3914047.421400766,1808446.8827986538
sp|O43252|PAPS1_HUMAN,92795710.21956281,82216470.92046444,93608431.22789298,81403749.9121343
sp|Q15477|SKIV2_HUMAN,15408228.263891881,11873155.541045371,17335276.54553798,9946107.25939927
sp|Q13347|EIF3I_HUMAN,135356348.2409246,137315955.65808105,138511391.31832448,134160912.58068113
sp|Q9BXV9|GON7_HUMAN,25954417.57816367,20317645.506085664,26763021.580570083,19509041.50367925
sp|Q9Y266|NUDC_HUMAN,555391260.2612673,555810036.5802584,549371247.5690818,561830049.2724437
sp|Q9UBB9|TFP11_HUMAN,8068673.986698285,8496034.320614655,7669597.871134322,8895110.436178617
sp|Q96PU8|QKI_HUMAN,24546012.015828375,22822760.00195093,26776177.032845832,20592594.984933473
sp|Q9NPA3|M1IP1_HUMAN,14520849.852440339,21417857.324915837,15714288.79070933,20224418.386646844
sp|P41743|KPCI_HUMAN,11546937.630754374,14422676.666463092,11158682.619194366,14810931.6780231
sp|Q9BW66|CINP_HUMAN,687522.0105544075,,687522.0105544075,
sp|P09972|ALDOC_HUMAN,57172218.51172449,49578626.63621865,62129283.12278276,44621562.02516039
sp|P23258|TBG1_HUMAN,54115340.08507977,54862344.74499035,54077590.459061116,54900094.371008985
sp|Q99543|DNJC2_HUMAN,7223817.616741703,10453061.3697577,5439217.330486303,12237661.656013101
sp|Q14194|DPYL1_HUMAN,764677.286070577,875153.5990861821,764677.2860705771,875153.5990861821
sp|P57740|NU107_HUMAN,30085205.357762124,25300495.765165955,25929049.656148933,29456651.466779146
sp|Q9H4G0|E41L1_HUMAN,51870633.62088797,50240189.3852121,51443587.89815239,50667235.107947685
sp|P26196|DDX6_HUMAN,134516970.1947425,121061350.98210672,142704375.19514152,112873945.9817077
sp|P62805|H4_HUMAN,305982750.8943816,299682482.6756796,268466790.99405205,337198442.57600915
sp|Q9NZZ3|CHMP5_HUMAN,27055078.69741527,29829099.39833023,26019180.158286836,30864997.937458664
sp|Q9UKL0|RCOR1_HUMAN,3174131.975984577,3386774.4109938964,3885326.3360657133,2675580.05091276
sp|P31947|1433S_HUMAN,610700640.9214603,575698226.252296,566667642.7154866,619731224.4582696
sp|P27348|1433T_HUMAN,876673028.4271915,911694038.0087514,778842923.4814459,1009524142.9544972
sp|P63104|1433Z_HUMAN,598097081.3880825,688815957.4105022,521447771.34456044,765465267.4540242
sp|Q9BV86|NTM1A_HUMAN,52960439.868202634,56424233.22605468,48514736.73690377,60869936.35735355
sp|P18754|RCC1_HUMAN,220815048.95887622,230984157.10597998,228349050.32598662,223450155.7388696
sp|Q15008|PSMD6_HUMAN,151756783.89181596,168057519.70697924,150965675.76138192,168848627.83741328
sp|Q99700|ATX2_HUMAN,6656418.564907864,10293976.084831148,7816824.543301008,9133570.106438003
sp|Q9H0P0|5NT3A_HUMAN,20091767.220748212,20525952.10518941,20413808.055973694,20203911.269963928
sp|O60942|MCE1_HUMAN,7803176.125911422,6769605.118240607,7795776.265361755,6777004.978790274
sp|Q13561|DCTN2_HUMAN,126033692.54548243,117550425.66719311,131915341.23691976,111668776.97575578
sp|Q08378|GOGA3_HUMAN,9175878.7030215,11636276.38927892,11077877.99495108,9734277.09734934
sp|Q96JB5|CK5P3_HUMAN,11881262.84632707,11084707.05779544,9976665.278640084,12989304.625482429
sp|Q96C36|P5CR2_HUMAN,44675673.37849396,41927899.09841679,45380860.10219676,41222712.374713995
"sp|Q969T4|UB2E3_HUMAN,sp|Q96LR5|UB2E2_HUMAN",26594808.371326473,25963700.83240998,26681429.453641303,25877079.75009515
sp|P28340|DPOD1_HUMAN,45327465.20916542,48867288.93165323,48387906.54524906,45806847.595569596
sp|O00762|UBE2C_HUMAN,20831316.01938881,14921845.609157851,21490828.010505497,14262333.618041154
sp|Q9Y285|SYFA_HUMAN,76206675.32518077,75514076.91173603,84436640.45299062,67284111.78392614
sp|Q86X76|NIT1_HUMAN,5810152.914356869,6940775.2153319735,5099272.282478509,7651655.847210334
sp|P51149|RAB7A_HUMAN,35934990.50059925,34235745.62662394,36297219.264522724,33873516.86270048
sp|Q13042|CDC16_HUMAN,4284262.977096549,3871207.451934367,4200960.870963042,3954509.558067874
sp|P08621|RU17_HUMAN,279699475.83287364,292279851.0780414,260352050.44510072,311627276.4658143
sp|Q9BRA2|TXD17_HUMAN,116575196.55433802,113308876.49487472,147388167.00872415,82495906.0404886
sp|Q9NUU7|DD19A_HUMAN,98388837.70147823,104875188.88655542,107496836.62360859,95767189.96442501
sp|Q9UBE0|SAE1_HUMAN,222996194.50646663,229651612.11695096,180128498.80372018,272519307.8196974
sp|P47985|UCRI_HUMAN,26633550.64410661,54484163.554753855,34767487.529921204,46350226.66893926
sp|P21953|ODBB_HUMAN,5163136.832316699,5168313.415610326,4657683.166266825,5673767.081660202
sp|Q9UKN8|TF3C4_HUMAN,32179330.771128878,32154297.37510824,29349524.132959228,34984104.013277896
sp|Q13015|AF1Q_HUMAN,4370272.924649581,3613973.2495039776,4694302.516158967,3289943.6579945907
sp|Q15642|CIP4_HUMAN,27376228.893795025,19692225.25990494,14001719.838978743,33066734.314721223
sp|O43615|TIM44_HUMAN,29652893.460722413,32531928.50147899,27416282.56946576,34768539.39273564
sp|Q9ULX6|AKP8L_HUMAN,31524581.59216019,31741650.097584676,29598219.567181237,33668012.12256363
sp|Q9UMX0|UBQL1_HUMAN,83945424.59417585,84783376.35739625,84302654.75616479,84426146.1954073
sp|Q9UBR2|CATZ_HUMAN,111791068.5990623,107782633.61162986,120573435.11407788,99000267.0966143
sp|Q567U6|CCD93_HUMAN,7312525.406578256,3708333.0829504267,8144339.279794775,2876519.209733908
sp|P61758|PFD3_HUMAN,106901422.72392565,106919293.23817752,101576770.25272751,112243945.70937568
sp|P07858|CATB_HUMAN,61100462.226294994,55923861.70466736,60963707.09248796,56060616.83847439
sp|O75116|ROCK2_HUMAN,119378917.0972878,123614576.53578338,128207564.05510251,114785929.57796866
sp|P42025|ACTY_HUMAN,14353344.298805136,22053276.008571796,7388514.8071289705,29018105.500247955
sp|Q5H9R7|PP6R3_HUMAN,84469926.14197913,83547531.97551772,87212148.34742714,80805309.77006969
sp|P48735|IDHP_HUMAN,18749991.447046623,19867629.473280452,17353036.629502267,21264584.29082481
sp|Q14566|MCM6_HUMAN,313074418.71095634,324948462.61716557,327198424.9871181,310824456.3410039
sp|P55884|EIF3B_HUMAN,526927628.54328275,547461344.996525,500413062.9898169,573975910.5499908
ENSEMBL:ENSBTAP00000034412,10129528.487232171,9108964.126468169,10955875.363461884,8282617.250238457
sp|P55145|MANF_HUMAN,119402879.4906963,118647306.85005617,127205403.4938492,110844782.84690325
sp|P35080|PROF2_HUMAN,93995564.2361915,90665279.86173609,85831349.58279385,98829494.51513374
sp|Q9Y3T9|NOC2L_HUMAN,6805205.128272603,9740093.589400852,11036790.065901509,5508508.651771948
sp|Q9BZI7|REN3B_HUMAN,5778528.675788923,5802498.870549076,7143072.137778167,4437955.408559832
sp|Q53G44|IF44L_HUMAN,902702.1430054728,,902702.1430054728,
sp|Q9H993|ARMT1_HUMAN,15608776.35166567,17083325.856237374,16812075.607496098,15880026.600406948
sp|P15531|NDKA_HUMAN,526795373.78088963,527877892.65394,501266879.35143185,553406387.0833977
sp|Q96KB5|TOPK_HUMAN,15780827.87808443,20699912.320275594,17267542.941888593,19213197.256471433
sp|P54105|ICLN_HUMAN,49356585.499352716,51134657.63905804,54634010.43441784,45857232.7039929
sp|P55210|CASP7_HUMAN,6372234.347063363,3415808.966333705,6851885.760021966,2936157.553375102
sp|Q96D46|NMD3_HUMAN,25984233.478255544,16100115.83657211,21102730.60118378,20981618.713643868
Q2KJ62,21584319.390816838,20490426.670239765,21960711.587634705,20114034.473421894
P01045-1,3672250.7272445173,5641780.910074237,5516282.53496564,3797749.102353115
sp|Q96RS6|NUDC1_HUMAN,30194132.13886972,33316021.411687933,30940971.853446234,32569181.697111424
sp|Q14671|PUM1_HUMAN,25862415.521284044,27723358.799945578,25052391.03366799,28533383.287561636
sp|O60671|RAD1_HUMAN,2830226.3069907734,3372712.0418630657,3620939.320664808,2581999.0281890305
sp|Q15773|MLF2_HUMAN,3955774.995815956,3879450.0113390763,3955774.995815956,3879450.011339076
sp|Q15004|PAF15_HUMAN,3060715.570537104,3156416.1737237717,3060715.5705371043,3156416.173723772
sp|Q9Y305|ACOT9_HUMAN,34664757.16372433,36135937.78823462,36231173.08014624,34569521.87181272
sp|Q9NZ63|TLS1_HUMAN,29153593.746592425,36872807.53273951,32656969.487639945,33369431.791691985
sp|Q7Z460|CLAP1_HUMAN,15610333.064205524,14091126.69446438,17673679.6505804,12027780.108089503
sp|Q15054|DPOD3_HUMAN,14670494.961752772,13973533.064209215,14359403.318544595,14284624.707417395
sp|O95251|KAT7_HUMAN,4096988.4241683083,1854592.0480352407,2801310.7160297986,3150269.756173751
sp|Q8TDP1|RNH2C_HUMAN,1761445.9140341117,2842197.8207321614,1761445.9140341117,2842197.8207321614
sp|Q9NRX2|RM17_HUMAN,5939570.935348164,6244424.438965708,7008087.856325269,5175907.517988604
sp|Q06787|FMR1_HUMAN,10849531.463278182,10458581.50976478,11417104.88855074,9891008.084492221
sp|Q96NC0|ZMAT2_HUMAN,9425484.01632192,10029743.646328283,13427045.928429909,6028181.734220295
sp|O95302|FKBP9_HUMAN,34579407.48925324,35320713.97916452,35778873.648937576,34121247.81948017
sp|P07737|PROF1_HUMAN,570523644.2938538,555735150.9349468,451115877.74444413,675142917.4843564
sp|Q9HCN4|GPN1_HUMAN,9942847.946987327,10569235.322333483,9760810.82037247,10751272.448948342
sp|Q9BVC5|ASHWN_HUMAN,4358290.822833206,6110297.587685199,4358290.822833205,6110297.587685199
sp|Q8WUY3|PRUN2_HUMAN,1400667.0654182709,,1400667.0654182709,
sp|P83881|RL36A_HUMAN,98012691.68534654,98742401.44779393,88681267.42767808,108073825.7054624
sp|P49643|PRI2_HUMAN,21496456.13245465,22978737.441510167,23352059.97502447,21123133.598940354
sp|O43491|E41L2_HUMAN,66345262.331388846,68386598.8544798,64156182.132615976,70575679.05325268
sp|Q13637|RAB32_HUMAN,6062663.397427468,6054523.2633706555,6076791.987554459,6040394.673243663
sp|P46109|CRKL_HUMAN,41617245.52380572,43687213.04888852,54702290.238010414,30602168.334683828
sp|O00560|SDCB1_HUMAN,30199312.014786005,34565136.957687415,31008124.834034525,33756324.138438895
sp|P18887|XRCC1_HUMAN,19509456.574705116,18600727.284004845,21244645.542049743,16865538.316660218
sp|Q9BQA1|MEP50_HUMAN,29120939.999145344,29218476.864294123,26701523.572976056,31637893.290463418
sp|Q14011|CIRBP_HUMAN,31475642.809391264,34026785.24612433,31032062.33044285,34470365.72507274
sp|P84103|SRSF3_HUMAN,185849291.41075483,176013574.9192586,174354426.756275,187508439.57373843
sp|Q9NQX3|GEPH_HUMAN,8854110.360940933,5857193.391889043,6942073.489599395,7769230.263230583
P17690,23677610.50969312,24974595.276680134,23310186.829253636,25342018.95711962
sp|O15145|ARPC3_HUMAN,80348135.48974064,78293630.60181007,71546063.21336196,87095702.87818874
sp|Q9NTJ3|SMC4_HUMAN,227418587.96848834,215310254.58227232,222421344.07257146,220307498.47818917
sp|Q9NYF8|BCLF1_HUMAN,203655305.07658505,204663036.8747859,205626237.1156704,202692104.8357005
sp|P61019|RAB2A_HUMAN,14108699.628782354,15642940.243249165,14767085.845006365,14984554.027025154
sp|Q9Y2H1|ST38L_HUMAN,3099555.9394852165,3185790.938673734,3235397.865766743,3049949.012392207
sp|Q9H6Z4|RANB3_HUMAN,22800211.10693962,25605109.34979916,22027173.03533087,26378147.421407916
sp|P46100|ATRX_HUMAN,8444612.046665695,9519451.33926814,8538246.482981496,9425816.902952345
"ENSEMBL:ENSBTAP00000024462,ENSEMBL:ENSBTAP00000024466",4826569.320868108,5718160.237408735,7164148.775881423,3380580.782395421
sp|P41223|BUD31_HUMAN,20708264.88184574,22617088.17563002,19062942.85405111,24262410.203424655
sp|Q9BT09|CNPY3_HUMAN,22697061.174839478,24174629.963459015,23042392.104922958,23829299.03337554
sp|Q16864|VATF_HUMAN,10331792.607502248,13549473.287245087,11310677.702479396,12570588.192267941
sp|Q08AD1|CAMP2_HUMAN,3011153.473862582,2608577.646433848,2271749.478936058,3347981.6413603714
sp|O60664|PLIN3_HUMAN,184955028.7903204,189247250.4957678,187040953.34789005,187161325.9381982
sp|Q04721|NOTC2_HUMAN,5440609.639275769,6649289.264887002,7683799.065707868,4406099.838454903
sp|Q2TAA2|IAH1_HUMAN,4848412.608322166,4585633.030886604,4825344.620312734,4608701.018896037
sp|Q7Z3K3|POGZ_HUMAN,3510634.8939958666,4367556.862602155,4447785.827635013,3430405.9289630083
sp|Q8ND24|RN214_HUMAN,674725.08009307,,674725.08009307,
sp|P55735|SEC13_HUMAN,210029050.58437848,203247556.4692086,221361530.0008031,191915077.052784
sp|Q9UNH7|SNX6_HUMAN,59463294.04445414,58796092.94648051,55988378.0344841,62271008.95645057
sp|Q96KP4|CNDP2_HUMAN,134469063.46200055,137388935.58701602,133971971.12843685,137886027.92057967
sp|P55081|MFAP1_HUMAN,19389696.66194202,18717894.23224628,17442062.289138697,20665528.605049603
sp|P55957|BID_HUMAN,23020312.647656813,14504210.371278536,20946215.519790366,16578307.49914499
sp|O60568|PLOD3_HUMAN,109902815.70468377,103511873.12995365,117404835.3861334,96009853.44850399
REV__sp|Q9BXF6|RFIP5_HUMAN,1090582.3393365045,1366111.767834836,1090582.3393365045,1366111.767834836
sp|Q99584|S10AD_HUMAN,102272645.42217918,93480912.87954232,98591738.61625554,97161819.68546596
sp|O60216|RAD21_HUMAN,52752050.22302243,57647641.829707615,58442421.44038488,51957270.61234516
sp|Q15084|PDIA6_HUMAN,677988424.8331085,655093658.2256614,737691492.4578049,595390590.6009653
"sp|Q16644|MAPK3_HUMAN,sp|P49137|MAPK2_HUMAN",6694023.152736104,5602061.788733482,7394458.556671152,4901626.384798435
sp|P19784|CSK22_HUMAN,38363492.79450772,38945692.81095069,41434428.052678905,35874757.5527795
sp|Q02750|MP2K1_HUMAN,113984419.5593156,111791281.84614061,120189864.36782137,105585837.03763485
sp|Q9NZM5|NOP53_HUMAN,4033201.903229542,2874764.1762742135,4112393.3301255815,2795572.7493781745
sp|Q9GZZ1|NAA50_HUMAN,37412390.497650675,36241615.781732656,35176937.03131519,38477069.248068154
sp|P52788|SPSY_HUMAN,69499497.08347562,68245615.8779163,71805622.92047827,65939490.04091365
sp|Q9P2T1|GMPR2_HUMAN,2893210.3171018376,3158782.316364593,3405788.0510635874,2646204.582402842
sp|Q99685|MGLL_HUMAN,16525827.127240969,20639102.08434984,18970083.01450902,18194846.197081793
sp|Q9H875|PKRI1_HUMAN,1690525.4215557422,,1690525.4215557422,
sp|P39019|RS19_HUMAN,246227025.1561373,253289010.44949073,220155917.80093768,279360117.80469036
sp|Q15185|TEBP_HUMAN,479042340.56176645,533303392.17196256,558394269.1194028,453951463.6143261
sp|P10515|ODP2_HUMAN,23570115.646290846,28780290.06572311,30133750.606624007,22216655.105389953
sp|P11171|41_HUMAN,7009734.102695271,6732979.906589295,7214457.574759284,6528256.434525281
sp|P47712|PA24A_HUMAN,94440678.41881405,96018383.6719376,86997784.82917842,103461277.26157321
sp|Q9BRT6|LLPH_HUMAN,1736034.8801260435,3496212.0248298487,1736034.8801260435,3496212.0248298487
sp|P62280|RS11_HUMAN,201806486.72000283,213711953.1382676,209270338.86466348,206248100.99360695
sp|Q16543|CDC37_HUMAN,154992451.0632721,149385907.5685892,157513356.61205742,146865002.01980394
sp|P17252|KPCA_HUMAN,23897360.871821277,30703145.13653847,23049573.93726229,31550932.071097452
Q3ZBS7,33543695.405413594,45408056.114608265,34718407.75595265,44233343.764069214
sp|P16152|CBR1_HUMAN,448607447.25043625,425149480.35153025,379267234.9977048,494489692.60426176
sp|O94842|TOX4_HUMAN,920491.1824231236,1389455.5440496579,920491.1824231235,1389455.5440496579
sp|Q8IV08|PLD3_HUMAN,20447574.980657104,15309119.196725316,20387523.006742306,15369171.17064011
sp|P50395|GDIB_HUMAN,776372673.4781073,784754360.4644029,754880369.7663472,806246664.1761628
sp|P61978|HNRPK_HUMAN,1800555775.7059155,1765377446.946042,1734787334.403844,1831145888.2481134
sp|Q9NNW7|TRXR2_HUMAN,2279475.0626854114,2125765.0837715976,2267135.5327364253,2138104.6137205837
sp|Q71U36|TBA1A_HUMAN,21466719.58097577,21569296.38238151,20943650.807534162,22092365.155823115
sp|Q7Z417|NUFP2_HUMAN,31530626.635297574,29980412.425724857,30368065.66873801,31142973.392284423
sp|P22626|ROA2_HUMAN,3783823666.685749,3952236747.7381644,3846034935.3972,3890025479.0267134
sp|P09651|ROA1_HUMAN,1362328238.5921342,1437464652.1903584,1302935568.5667188,1496857322.2157738
sp|P26599|PTBP1_HUMAN,951553767.6033014,912689112.6793451,989957393.6332717,874285486.6493747
sp|P49750|YLPM1_HUMAN,16064453.758690696,32052663.724009313,19551437.717939325,28565679.76476068
sp|Q9P015|RM15_HUMAN,24939422.578760266,25266298.647076145,23914372.39293824,26291348.832898166
sp|Q13162|PRDX4_HUMAN,166664196.8512549,171878334.50269598,160751847.34812096,177790684.00582993
sp|P49023|PAXI_HUMAN,34282572.29132448,35651069.708057195,30440976.755752277,39492665.2436294
sp|P46783|RS10_HUMAN,175328636.16899368,171116350.58834678,146488247.14071143,199956739.616629
sp|Q969S9|RRF2M_HUMAN,1337710.1465100881,1332637.8921774484,1337710.1465100884,1332637.8921774486
sp|Q8IXT5|RB12B_HUMAN,4324242.270272252,8310422.831050463,4428420.435967918,8206244.665354798
sp|P07195|LDHB_HUMAN,1821571567.2566674,1863637835.1950388,1910309652.9058342,1774899749.545872
sp|Q99538|LGMN_HUMAN,1047125.2037519153,2337860.1925036795,1047125.2037519151,2337860.1925036795
sp|O95376|ARI2_HUMAN,15398595.302789947,15160079.65080965,17564654.33241239,12994020.621187208
sp|Q9Y3D6|FIS1_HUMAN,35141334.9472315,33739374.970397376,35186536.09262827,33694173.8250006
